Model,Parameters,GenPPL,FSD,LLM-as-Judge,UTMOS,Type,URL
TWIST,350M,116.7,1416.7,-,-,SLM,https://arxiv.org/abs/2305.13009
TWIST,1.3B,98.6,1417.4,1.48,3.25,SLM,https://arxiv.org/abs/2305.13009
TWIST,7B,-,-,1.44,3.27,SLM,https://arxiv.org/abs/2305.13009
SPIRITLM-Base,7B,54.7,1954.8,2.79,3.41,SLM,https://arxiv.org/abs/2402.05755
SPIRITLM-Expressive,7B,84.0,1315.1,1.90,3.40,SLM,https://arxiv.org/abs/2402.05755
TASLM-token,1.3B,-,-,3.08,4.07,SLM,https://arxiv.org/abs/2504.07053
TASLM-embed,1.3B,-,-,3.16,4.22,SLM,https://arxiv.org/abs/2504.07053
Flow-SLM,270M,173.3,1235.4,-,-,SLM,https://arxiv.org/abs/2508.09350
Flow-SLM,1B,147.5,1018.1,-,-,SLM,https://arxiv.org/abs/2508.09350
Flow-SLM-Ext.,1B,137.6,997.9,-,-,SLM,https://arxiv.org/abs/2508.09350
Llama-Mimi,1.3B,-,-,-,-,SLM,https://arxiv.org/abs/2509.14882
