Model,Parameters,Sentiment,Speaker,Gender,Bg (domain),Bg (random),Room,Type,URL
GSLM,150M,55.0,55.0,50.5,59.5,55.5,53.0,SLM,https://arxiv.org/abs/2102.01192
TWIST,350M,48.0,53.0,52.5,61.5,53.0,52.5,SLM,https://arxiv.org/abs/2305.13009
TWIST,1.3B,48.0,55.0,54.5,62.5,54.0,53.5,SLM,https://arxiv.org/abs/2305.13009
TWIST,7B,48.0,54.5,52.0,59.5,54.0,51.5,SLM,https://arxiv.org/abs/2305.13009
pGSLM,150M,46.5,49.5,55.5,51.0,54.0,52.5,SLM,https://arxiv.org/abs/2109.03264
SPIRITLM-Base,7B,47.5,52.0,50.5,50.5,52.5,50.0,SLM,https://arxiv.org/abs/2402.05755
SPIRITLM-Expressive,7B,72.0,54.0,56.0,58.5,55.5,54.5,SLM,https://arxiv.org/abs/2402.05755
TASLM-embed,1.3B,95.0,100.0,100.0,61.5,54.5,57.5,SLM,https://arxiv.org/abs/2504.07053
Flow-SLM,270M,85.0,87.0,92.5,77.0,86.0,69.5,SLM,https://arxiv.org/abs/2508.09350
Flow-SLM,1B,92.5,99.5,99.0,77.0,84.5,77.0,SLM,https://arxiv.org/abs/2508.09350
Flow-SLM-Ext,1B,93.0,98.0,100.0,77.0,86.5,85.0,SLM,https://arxiv.org/abs/2508.09350
Llama-Mimi,1.3B,93.0,90.0,95.0,81.0,90.0,78.5,SLM,https://arxiv.org/abs/2509.14882
